color,date,slug,title,link,readings,optional,assigned,ashow,due,dshow,,,slidelinks
white,,Intro,,,Chapter 1,,HW 0,1,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec1.pdf
#e7f8ff,,Entity-Relationship Modeling,ER Modeling,,Chapter 2,,"<a href=""https://github.com/w4111/project1"">Project 1 Part 1.</a> <br/>LOOK FOR TEAMMATE",1,"<a href=""http://github.com/w4111/hw0"">HW 0 10AM</a><br/>You will receive a 0 in this class if HW0 not completed on time -- no exceptions",1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec2.pdf
#e7f8ff,,Entity-Relationship Modeling,"More constraints, using ER models",,Chapter 2,,,,Formed team for Project 1 (no deliverable),1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec3.pdf
#e7f8ff,,Relational Model,Dawn before time: non relational models.,,Chapter 3,"<a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a><br/><a href=""https://highlyscalable.wordpress.com/2012/03/01/nosql-data-modeling-techniques/"">NoSQL data modeling techniques</a>",,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec4.pdf
#e7f8ff,,Relational Model,ER and Relational Review.,,Chapter 3,"<a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a>",,,Project 1 Part 1 approval phase 9/21-9/28,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec5.pdf
#e7f8ff,,Relational Model,Intro to Relational Algebra,,Chapter 3,"<a href=""./reading/codd.pdf"">Original Relational Model paper</a>","<a href=""https://github.com/w4111/hw1"">HW 1</a>",1,Project 1 Part 1 approval phase 9/21-9/28,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec6.pdf
#f2f9ed,,Relational Algebra,,,,,,,Project 1 Part 1 approval phase 9/21-9/28,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec7.pdf
#f2f9ed,,Relational Algebra,"ER to Relational, supplemental notes",,Sections 4.1 and 4.2,,"<a href=""https://github.com/w4111/project1"">Project 1 Part 2.</a> ",1,Project 1 Part 1 2:40PM in class. Hard copy,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec8.pdf
#f2f9ed,,Relational Algebra,,,,,,,HW 1 2:30PM in class. Hard copy.,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec9.pdf
#f2f9ed,,SQL,Knee deep in SQL,,"Chapter 5<br/><a href=""https://github.com/w4111/syllabus/blob/master/lectures/lec11.pdf"">Aggregation Slides</a>",,"<a href=""https://www.instabase.com/ewu/w4111-public/fs/Instabase%20Drive/HW2/"">HW 2</a>",1,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec10.pdf
#f2f9ed,,SQL,Order by and UDFs,,"Chapter 5<br/><a href=""https://github.com/w4111/syllabus/blob/master/reading/midterm1-practice1.pdf"">Midterm Practice 1</a><br/><a href=""https://github.com/w4111/syllabus/blob/master/reading/midterm1-practice2.pdf"">Midterm Practice 2</a>",,,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec12.pdf
#f2f9ed,,SQL,"Triggers, WITH, Views.",,"Chapter 5<br/>(optional)<a href=""https://github.com/w4111/syllabus/blob/master/reading/triggerman.pdf"">Scalable Trigger support</a>",,,,Project 1 Part 2 10AM,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec13.pdf
white,,Midterm Review,,,,,,,HW 2 Due 10AM.,1,,,
white,,Midterm: closed book,one 8x11 page cheat sheet both sides,,,,,,,,,,
#edf3f9,,APIs,"DBAPIs, Impedance Mismatches, SQL Injection",,Chapter 6,,"<a href=""https://github.com/w4111/project1/blob/master/part3.md"">Part 3</a>",1,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec15.pdf
#edf3f9,,Normalization,Redundancy and Functional Dependencies,,Chapter 19 except 19.8 (you do need to know 3NF at the level of lecture),,"<a href=""https://github.com/w4111/hw3"">HW 3</a>",1,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec16.pdf
#edf3f9,,Normalization,,,Chapter 8 (level of detail covered in class),,,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec17.pdf
#ddf9ff,,Physical Design,"Disk storage, Heap Files",,,,,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec18.pdf
#ddf9ff,,Physical Design,"B+Trees, Hash Files, Single operator optimizations",,,,,,Project 1 Part 3,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec19.pdf
#ddf9ff,,Query Processing,"Query plans, statistics, join algorithms",,Chapter 12 (level of detail covered in class),,,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec20.pdf
#ddf9ff,,Query Processing,Join algorithms and Selinger,,Chapter 12 (level of detail covered in class),"<a href=""./reading/selinger.pdf"">Access Path Selection in a Relational Database Management System</a>","<a href=""https://github.com/w4111/hw4"">HW 4</a><br/><a href=""https://www.instabase.com/ewu/w4111-public/fs/Instabase%20Drive/PROJ2/"">Project 2</a>",1,HW 3 10AM,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec21.pdf
#ddf9ff,,Transaction Processing,Concurrency Control,,"Chapter 16 (level of detail covered in class). Ignore 16.5, 16.6.",,,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec22.pdf
#ddf9ff,,Transaction Processing,Concurrency Control,,"Chapter 16 (level of detail covered in class). Ignore 16.5, 16.6.",,,,,,,,https://github.com/w4111/syllabus/blob/master/lectures/lec23.pdf
white,,Transaction Processing,Recovery,,,,,,HW 4 2:30PM,1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec24.pptx
white,,Final Exam (Cumulative): Closed Book,1/2 page cheat sheet,,,,,,,,,,
white,,Advanced DB and Research Topics,The Future and More,,,,,,Project 2 (10AM),1,,,https://github.com/w4111/syllabus/blob/master/lectures/lec25.pdf